seg_idx,circuitid,substation,division,mid_lat,mid_lon
1247,062131109,06213,Sacramento,38.28281045697676,-122.05043772578503
1248,062131110,06213,Sacramento,38.246709972888695,-122.05765909647826
1249,062131111,06213,Sacramento,38.25752091072219,-122.04979818228902
1250,062131112,06213,Sacramento,38.2458910680767,-122.06683118357951
1251,062462223,06246,Sacramento,38.19383334537557,-121.57237548671756
1252,062462224,06246,Sacramento,38.17609684339378,-121.52751975404453
1253,062462225,06246,Sacramento,38.16728556939928,-121.66835861029183
1254,062462226,06246,Sacramento,38.18409940919459,-121.70690196682975
1255,062462227,06246,Sacramento,38.35386191215396,-121.62012962228043
1256,062541101,06254,Sacramento,39.09150339486275,-121.82832309658835
1257,062541102,06254,Sacramento,39.20395665109751,-121.88802860828211
1258,062701104,06270,Sacramento,38.089893291748965,-121.89425409209586
1259,062701110,06270,Sacramento,38.24535411014726,-122.07884235340629
1260,062701112,06270,Sacramento,38.28962887779821,-122.0906988773826
1261,062721101,06272,Sacramento,38.73462540142935,-121.72416436017942
1262,062721102,06272,Sacramento,38.92380858008366,-121.75151659543502
1263,062771101,06277,Sacramento,39.004909905530226,-121.84224982064063
1264,062771102,06277,Sacramento,39.08002943576581,-121.92642379551047
1265,062771103,06277,Sacramento,39.00496884564099,-121.82221426485937
1266,062831101,06283,Sacramento,39.41994133519617,-121.9576058850615
1267,062831102,06283,Sacramento,39.323897594867844,-121.98494171440738
1268,062831103,06283,Sacramento,39.45713558662703,-122.01600296975225
1269,062831104,06283,Sacramento,39.34126667292637,-122.07654246172078
1270,062881102,06288,Sacramento,39.21821062989567,-122.15566127410527
1271,062881105,06288,Sacramento,39.348228395815426,-122.22915437728813
1272,062881106,06288,Sacramento,39.27798417362638,-122.05504461095109
1273,063121101,06312,Sacramento,39.11872058311777,-122.19298827746795
1274,063131104,06313,Sacramento,38.572679278585035,-121.61272139170583
1275,063131105,06313,Sacramento,38.57385288893654,-121.56596015982066
1276,063131106,06313,Sacramento,38.58342946427406,-121.54786637600877
1277,063131107,06313,Sacramento,38.5689815367597,-121.53304986001226
1278,063131108,06313,Sacramento,38.58109052872383,-121.53019274158781
1279,063131109,06313,Sacramento,38.59658172626764,-121.53405241242572
1280,063131110,06313,Sacramento,38.58736445493166,-121.51429822998992
1281,063131111,06313,Sacramento,38.58956834152488,-121.55738602457937
1282,063171103,06317,Sacramento,38.648832674671326,-121.87140099115761
1283,063171105,06317,Sacramento,38.70896080452831,-121.93638672706521
1284,063172101,06317,Sacramento,38.75991779197918,-122.16230822913569
1285,063191105,06319,Sacramento,38.805684238241724,-121.84930094840063
1286,063191106,06319,Sacramento,38.82246852326194,-121.85829049575577
1287,063191107,06319,Sacramento,38.739211000813704,-121.87813135485453
1288,063321101,06332,Sacramento,38.540483100798056,-121.9532646852743
1289,063321102,06332,Sacramento,38.537750778813255,-121.90231555864862
1290,063441101,06344,Sacramento,38.55557099657382,-121.82159430687834
1291,063441105,06344,Sacramento,38.5772951218293,-121.87337364359202
1292,063441106,06344,Sacramento,38.641870778423424,-121.7329156994923
1293,063591101,06359,Sacramento,38.43522640208556,-122.03171231938725
1294,063591102,06359,Sacramento,38.39441109243204,-121.93667711054958
1295,063591103,06359,Sacramento,38.44405944499868,-121.8920441076035
1296,063591104,06359,Sacramento,38.38517803509336,-121.93396303126666
1297,063591105,06359,Sacramento,38.43395712946887,-121.95185988508292
1298,063591106,06359,Sacramento,38.385992971243624,-121.9348731883482
1299,063591107,06359,Sacramento,38.395605459004535,-121.92484580693082
1300,063591109,06359,Sacramento,38.383961065696354,-121.96099182963123
1301,063601102,06360,Sacramento,38.36606865280962,-121.95964015745633
1302,063601103,06360,Sacramento,38.35507722560653,-121.99109761778077
1303,063601104,06360,Sacramento,38.33525175524691,-122.01367019710557
1304,063601105,06360,Sacramento,38.34940081489405,-121.97397592299937
1305,063601106,06360,Sacramento,38.35384178326183,-121.9676922067453
1306,063601107,06360,Sacramento,38.34536825821756,-121.94463663531104
1307,063601108,06360,Sacramento,38.360652218749024,-121.99850915247659
1308,063601109,06360,Sacramento,38.343790570189796,-121.99044697794668
1309,063601110,06360,Sacramento,38.3604613810286,-121.97585121208242
1310,063601111,06360,Sacramento,38.371201568785544,-121.99387206930946
1311,063601112,06360,Sacramento,38.38038635662977,-121.98281317163621
1312,063621105,06362,Sacramento,38.55090666696635,-121.56759715769425
1313,063621106,06362,Sacramento,38.527765039016785,-121.57943883626447
1314,063621107,06362,Sacramento,38.51874319056341,-121.55104615640079
1315,063621108,06362,Sacramento,38.55279091544675,-121.56299259987505
1316,063621109,06362,Sacramento,38.55143309256966,-121.54625463690643
1317,063621110,06362,Sacramento,38.55587155145277,-121.56176101497681
1318,063642102,06364,Sacramento,38.27435792875796,-121.95029595067682
1319,063642104,06364,Sacramento,38.25030289862031,-121.99242242165609
1320,063642105,06364,Sacramento,38.336947473126095,-121.83312108626441
1321,063642106,06364,Sacramento,38.29619446306595,-121.9747305011448
1322,063642107,06364,Sacramento,38.182379984006026,-121.72418205696258
1323,063642107,06364,Sacramento,38.22906771333983,-121.95169235339895
1324,063642108,06364,Sacramento,38.28275478169566,-122.01252990327905
1325,063642109,06364,Sacramento,38.243996747474164,-121.98832761360853
1326,063642112,06364,Sacramento,38.33706303731124,-121.9659538942635
1327,063642113,06364,Sacramento,38.276119104347664,-122.011322919704
1328,063681102,06368,Sacramento,38.47252706443485,-122.04685257955886
1329,063681103,06368,Sacramento,38.495677101598616,-121.96183914638482
1330,063681105,06368,Sacramento,38.63354230604595,-121.98977635523758
1331,063801101,06380,Sacramento,38.21595976259355,-122.14351368675524
1332,063801102,06380,Sacramento,38.21527399661709,-122.15136585044641
1333,063801103,06380,Sacramento,38.16661097904168,-122.12703289296877
1334,063801104,06380,Sacramento,38.176398699703746,-122.13305539947909
1335,063801105,06380,Sacramento,38.27089124528146,-122.10433223401157
1336,063811101,06381,Sacramento,38.88167474378806,-121.95356940187996
1337,063811102,06381,Sacramento,38.9290570499463,-121.93325244186437
1338,063811103,06381,Sacramento,38.95491124371009,-122.02916034159361
1339,068670401,06867,Sacramento,38.38466108186951,-121.75890650410108
1340,082012101,08201,San Jose,37.298396461631725,-121.83306824809942
1341,082012102,08201,San Jose,37.33097422107107,-121.84995602669122
1342,082012103,08201,San Jose,37.29678569185062,-121.8396428954377
1343,082012104,08201,San Jose,37.28652577730621,-121.86137276539807
1344,082012105,08201,San Jose,37.28212052252694,-121.8771341087874
1345,082021101,08202,De Anza,37.232414854718435,-121.96472327221647
1346,082021102,08202,De Anza,37.22868380227858,-121.98416920615125
1347,082021106,08202,De Anza,37.12725089846293,-121.94668956996543
1348,082021107,08202,De Anza,37.21333640084023,-121.97421734713821
1349,082021108,08202,De Anza,37.22414383099918,-121.98735055065144
